id,name,brand,category,volume_size,current_price_rsd,original_price_rsd,url_slug,image_url
173,Expert Style UP Boar&Nylon,Olivia Garden,Brushes,,1380,,expert-style-up-boarnylon-bristles-matt-black,https://www.altamoda.rs/uploads/store/products/images/expert-style-up-boarnylon-bristles-matt-black-65ae9a908723c.webp
174,Fingerbrush Combo M,Olivia Garden,Brushes,,2940,,fingerbrush-combo-medium,https://www.altamoda.rs/uploads/store/products/images/fingerbrush-combo-medium-67ab4561ebc45.webp
175,Fingerbrush Care Iconic Double Bristles Black M,Olivia Garden,Brushes,,2520,,fingerbrush-care-iconic-double-bristles-black-m,https://www.altamoda.rs/uploads/store/products/images/fingerbrush-care-iconic-double-bristles-black-m-65aeafc4db4fa.webp
176,Fingerbrush Care Iconic Lavender M,Olivia Garden,Brushes,,3000,,fingerbrush-care-iconic-boarnylon-lavender-m,https://www.altamoda.rs/uploads/store/products/images/fingerbrush-care-iconic-boarnylon-lavender-m-65ae8bb56b325.webp
177,Fingerbrush Care Iconic Hot Pink M,Olivia Garden,Brushes,,3000,,fingerbrush-care-iconic-boarnylon-hot-pink-m,https://www.altamoda.rs/uploads/store/products/images/fingerbrush-care-iconic-boarnylon-hot-pink-m-65ae884af31a2.webp
178,Fingerbrush Care Iconic Pastel Pink M,Olivia Garden,Brushes,,3000,,fingerbrush-care-iconic-boarnylon-pastel-pink-m,https://www.altamoda.rs/uploads/store/products/images/fingerbrush-care-iconic-boarnylon-pastel-pink-m-65ae86a9c9a13.webp
179,Fingerbrush Care Iconic Mint M,Olivia Garden,Brushes,,3000,,fingerbrush-care-iconic-boarnylon-mint-m,https://www.altamoda.rs/uploads/store/products/images/fingerbrush-care-iconic-boarnylon-mint-m-65ae8c9b58261.webp
180,Expert Blowout Shine Wavy 80,Olivia Garden,Brushes,80mm,6000,,expert-blowout-shine-wavy-bristles-goldbrown-80,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-shine-wavy-bristles-goldbrown-80-65afffc1a97ec.webp
181,Expert Blowout Shine Wavy 65,Olivia Garden,Brushes,65mm,4920,,expert-blowout-shine-wavy-bristles-goldbrown-65,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-shine-wavy-bristles-goldbrown-65-65affe7593c03.webp
182,Expert Blowout Shine Wavy 55,Olivia Garden,Brushes,55mm,3960,,expert-blowout-shine-wavy-bristles-goldbrown-55,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-shine-wavy-bristles-goldbrown-55-65affd4fe701d.webp
