category,ourId,ourName,reason_or_bestScore
ambiguous,cmnki2iij024q9pq3i6txyyej,"M POS B Češalj 2014 1=1","2 exact name matches in Pantheon"
ambiguous,cmnki2iim024t9pq38k4j0tfm,"M POS Peškir beli","2 exact name matches in Pantheon"
ambiguous,cmnki2iim024u9pq3yq1y51ve,"M POS Kecelja za koloraciju","2 exact name matches in Pantheon"
ambiguous,cmnki2iix02559pq3lh33fkhv,"M POS SCB CLT Nijanser","2 exact name matches in Pantheon"
ambiguous,cmnki2ijd025l9pq3prtcrcgp,"R POS Pumpica crna","2 exact name matches in Pantheon"
ambiguous,cmnki2ijy02689pq3oioah73x,"R TS EXTREME Šampon 50ml","2 exact name matches in Pantheon"
ambiguous,cmnki2ijz02699pq3o8a5769v,"R TS EXTREME Šampon 50ml","2 exact name matches in Pantheon"
ambiguous,cmnki2im7027s9pq3kq6w09dn,"LABEL M Thickening Conditioner  1000 ml.","2 exact name matches in Pantheon"
ambiguous,cmnki2itl02dw9pq3fqrpovre,"M POS Peškir beli","2 exact name matches in Pantheon"
ambiguous,cmnki2gyi00fl9pq3iq1p029c,"M POS CS Kosice SV SN SA SS 2019","Pantheon code E3155600 claimed by 2 of our products at tier=exact"
ambiguous,cmnki2iu602ef9pq3bj1shqdj,"M POS CS Kosice SV SN SA SS 2019","Pantheon code E3155600 claimed by 2 of our products at tier=exact"
ambiguous,cmnki2gyj00fm9pq3reljzv20,"M POS CS Kosice AR AY AB 2019","Pantheon code E3156200 claimed by 2 of our products at tier=exact"
ambiguous,cmnki2ij5025d9pq31f0alfsx,"M POS CS Kosice AR AY AB 2019","Pantheon code E3156200 claimed by 2 of our products at tier=exact"
ambiguous,cmnki2hwb01gn9pq3qpihntna,"M POS NIJANSER UL AA-MV-AJ-GA","Pantheon code E2511200 claimed by 2 of our products at tier=exact"
ambiguous,cmnki2itk02dv9pq3a44mgxmd,"M POS NIJANSER UL AA-MV-AJ-GA","Pantheon code E2511200 claimed by 2 of our products at tier=exact"
ambiguous,cmnki2hwh01gt9pq3kmhdmaas,"M POS COLORSYNC Nijanser 2018","Pantheon code E2748800 claimed by 2 of our products at tier=exact"
ambiguous,cmnki2iis02509pq3vyz2oojp,"M POS COLORSYNC Nijanser 2018","Pantheon code E2748800 claimed by 2 of our products at tier=exact"
ambiguous,cmnki2hwv01h89pq36ysvrqo9,"M POS CS NIJANSER 2-2019","Pantheon code E3103000 claimed by 2 of our products at tier=fuzzy"
ambiguous,cmnki2ij4025c9pq3kclnkucj,"M POS CS Nijanser 1-2019","Pantheon code E3103000 claimed by 2 of our products at tier=exact"
ambiguous,cmnki2i8l01uu9pq369dlzbjt,"LABEL M Gentle Cleansing Shampoo  1000 ml","Pantheon code 60171 claimed by 2 of our products at tier=exact"
ambiguous,cmnki2ib601xh9pq3l8pbyu4a,"LABEL M Gentle Cleansing Shampoo  1000 ml","Pantheon code 60171 claimed by 2 of our products at tier=exact"
ambiguous,cmnki2i9401vf9pq3zkktu512,"LABEL M Gentle Cleansing Shampoo  3750 ml","Pantheon code 60097 claimed by 2 of our products at tier=exact"
ambiguous,cmnki2i9501vg9pq3myz3ofot,"LABEL M Gentle Cleansing Shampoo  3750 ml","Pantheon code 60097 claimed by 2 of our products at tier=exact"
unmatched,cmnki2gwi00di9pq3pdr3bo84,"Redken Brews Mint šampon 300ml",0.43
unmatched,cmnki2h7t00on9pq3yaqaj283,"WELLA Koleston Perfect 4/4 60ml",0.60
unmatched,cmnki2gn7004c9pq34fiihui1,"Redken Chromatics 7.46 Copper Red 63ml",0.33
unmatched,cmnki2gq2007b9pq3pwoam93w,"Redken NATURE + SCIENCE Extreme šampon 1000ml",0.29
unmatched,cmnki2gq2007c9pq3sy0h8f9w,"Redken NATURE + SCIENCE Extreme regenerator 1000ml",0.25
unmatched,cmnki2gxo00eo9pq3nbwc0czx,"M SCB MV 82 Boja 90ml",0.43
unmatched,cmnki2gxp00ep9pq3uw3zh2jo,"M SCB BRUNETTE 5CC Boja 90ml",0.43
unmatched,cmnki2gn5004a9pq3no39yigw,"Redken Chromatics 8.43 Copper Gold 63ml",0.40
unmatched,cmnki2gxq00eq9pq3if3a7trw,"M SCB D-AGE 7M Boja 90ml",0.43
unmatched,cmnki2gxr00er9pq36ns0p1p3,"M SCB D-AGE 6BC Boja 90ml",0.43
unmatched,cmnki2gng004o9pq36rxda9ln,"Redken Chromatics  4.35 Gold Mocha 63ml",0.40
unmatched,cmnki2gnd004k9pq32vdqw8sn,"Redken Chromatics 9.32 Gold Iridescent 63ml",0.56
unmatched,cmnki2gxr00es9pq31ul2aitw,"M SCB D-AGE 6M Boja 90ml",0.43
unmatched,cmnki2gxs00et9pq3iemyt7c1,"M SCB D-AGE 8M Boja 90ml",0.43
unmatched,cmnki2gnf004n9pq3ys1ajq75,"Redken Chromatics 6.35 Gold Mocha 63ml",0.40
unmatched,cmnki2gxt00eu9pq33hrx3oik,"M SCB D-AGE 9M Boja 90ml",0.43
unmatched,cmnki2h6w00nk9pq3pb4zgg0k,"WELLA Koleston Perfect 8/73 60ml",0.50
unmatched,cmnki2h6w00nl9pq3dwhc3dft,"WELLA Koleston Perfect 4/75 60ml",0.50
unmatched,cmnki2h6x00nm9pq3g31vsl88,"WELLA Koleston Perfect 5/75 60ml",0.50
unmatched,cmnki2h6y00nn9pq3f7bz53ec,"WELLA Koleston Perfect 6/75 60ml",0.50
unmatched,cmnki2gnp004u9pq32i9ps47w,"Redken Chromatics 5.23 Iridescent Gold 63ml",0.75
unmatched,cmnki2gnr004w9pq3lym78mz6,"Redken Chromatics Natural 9  63ml",0.43
unmatched,cmnki2h6z00no9pq3b41q5a3k,"WELLA Koleston Perfect 7/75 60ml",0.50
unmatched,cmnki2gnw00539pq381kg04i8,"Redken Chromatics Natural 2  63ml",0.43
unmatched,cmnki2gnt00509pq3zg8uu3m8,"Redken Chromatics Natural 5  63ml",0.43
unmatched,cmnki2gns004y9pq3w5wdqs2u,"Redken Chromatics Natural 7  63ml",0.43
unmatched,cmnki2h7000np9pq3diwhvdfv,"WELLA Koleston Perfect 4/77 60ml",0.50
unmatched,cmnki2h7100nq9pq3ibiojeb9,"WELLA Koleston Perfect 5/77 60ml",0.50
unmatched,cmnki2gnz00569pq3jdif7e4h,"Redken Chromatics 7.03 Natural Warm 63ml",0.33
unmatched,cmnki2gqg007q9pq3ie5fzf4f,"Redken Shades EQ 03B Mocha 60ml",0.57
unmatched,cmnki2h7200nr9pq37sdmb61u,"WELLA Koleston Perfect 6/77 60ml",0.50
unmatched,cmnki2h7300ns9pq3fllt1m62,"WELLA Koleston Perfect 7/77 60ml",0.50
unmatched,cmnki2h7300nt9pq32vfaoo53,"WELLA Koleston Perfect 12/0 60ml",0.50
unmatched,cmnki2h7400nu9pq3jgxsyjkv,"WELLA Koleston Perfect 12/1 60ml",0.50
unmatched,cmnki2gpy00789pq34son1zh4,"Redken NATURE + SCIENCE Color Extend regenerator 250ml",0.20
unmatched,cmnki2gpu00759pq3gcl3x760,"Redken Frizz Dismiss Rabel Time krema",0.14
unmatched,cmnki2go000579pq3fk1dkwro,"Redken Chromatics 6.03 Natural Warm 63ml",0.33
unmatched,cmnki2go4005b9pq3l8nbrlrv,"Redken Chromatics 7.1 Ash Blue 63ml",0.50
unmatched,cmnki2h7500nv9pq3xdoxxrw0,"WELLA Koleston Perfect 12/11 60ml",0.56
unmatched,cmnki2h7600nw9pq3957zsiin,"WELLA Koleston Perfect 12/16 60ml",0.56
unmatched,cmnki2gob005k9pq3pjgsg5xy,"Redken Chromatics 6.54 Brown Copper 63ml",0.33
unmatched,cmnki2gpq00729pq3q7tvgo7t,"Redken Frizz Dismiss šampon 300ml",0.33
unmatched,cmnki2gq000799pq33q2brcsd,"Redken NATURE + SCIENCE COLOR EXTEND regenerator 1000ml",0.33
unmatched,cmnki2go7005e9pq362rwi7oa,"Redken Chromatics 9.13 Ash Gold 63ml",0.56
unmatched,cmnki2h7700nx9pq3uf7io33u,"WELLA Koleston Perfect 12/22 60ml",0.43
unmatched,cmnki2h7800ny9pq3dhio17nx,"WELLA Koleston Perfect 12/61 60ml",0.56
